asset_id,source,owner_license_status,allowed_in_production,notes,owner,license_identifier,distribution_proof_file,distribution_proof_sha256,source_sha256,scope,release_status,reviewed_at,verification_task
equipment_bunny_assassin_pants__261x290,analysis/figma/raw/images/06cd33d87f0b29a2964c598bf7e3124a59294bad,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,3d5df4d8d308bf1a8e334541dd302b34fdc06088f388b14a6fd51cf887c4da83,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
branding_hero_collage__1536x1024,analysis/figma/raw/images/0776e9c3b4670521067e7b4d5751c86deac1e358,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,701846984cec94771523267c0425b1600a935382acb03e4e7b8b038c70f9bf43,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
reward_gold_chest__1254x1254,analysis/figma/raw/images/07938c8d6fff7ef8f5f691688e4860a8e46ddffa,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,188b86dcf82eefca301f55c9cd4a012c6522c731810b73d11757ed5c5c263ab0,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_button_red_square__1580x1579,analysis/figma/raw/images/08b1bc2751f3b6f0d6d9b634e5c8a9bb021199ef,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,552ce9ca7d9a4168248e9f2b1af9c6ad9fa2413ec80bd798abe4d8ef179c616f,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_bar_cyan_fill__335x53,analysis/figma/raw/images/092ac501041d697546d50159ce69fa085983abcb,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,100ccd3992f30b999f8258a97aa2c08613ef6a6e8e8db539d06d34488dd2e8df,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
enemy_swamp_crocodile__474x358,analysis/figma/raw/images/09bfd4ac03b6b9ef80b573897cf0839e13037230,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,15304ce778149e7057a2564cb0250d251c628a20a5015971b7f23c013e662d37,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_boots__289x278,analysis/figma/raw/images/0a0e8be3bb2ff3816b58a759156e65a7f21fb8f4,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,ab659dd75576e5dcf484f8d92d1438548ae1bb543fd129674bc287473b67e954,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_equipment_gold__259x387,analysis/figma/raw/images/0a3daa5714e0526d57a8f4de13d2b6233b30a292,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,ed1bd6fe0e29e07f44046f2db81ac0456bcceb5943b2ebb1d8702badbfe7d8db,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
hero_raccoon_engineer__405x416,analysis/figma/raw/images/0ac29d5d34a548d42a7f415c8a753877e9e9cf6d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,3cc4090d237bd314c8cfd5c7667ccfd918c4e5583b3ff9f561720d35d6fb5396,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_heart_wings__432x404,analysis/figma/raw/images/0adf1ea1483dd69e64864417cfad5467a9f756f9,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,b51017dbb49621c1e2452a79c838861123fcf389d7b5bab3777628bbd88b08ba,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
branding_logo__1448x1086,analysis/figma/raw/images/0af28b86d0bf4dd07dcc86106fa47288eb5e449c,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,28d32483760d5025b9137c076d5532188ce549439202f00740ba027f2e8fea7d,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_turtle_warrior_ring__534x437,analysis/figma/raw/images/0b2bf358d7101831113c0546963d06e71534f4cb,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,88668671dc6a6233c8618a4dd8eb256cc82bcbb378c3926b460bf41404e63c18,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
boss_frost_dragon__499x482,analysis/figma/raw/images/0c533b392e238edbbc6070da6d92a522e2a480b0,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,c2dee402177403c8d632e48b44ee906055903caa67b4990fa59dcd9238c70147,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_fox_sorcerer_ring__452x543,analysis/figma/raw/images/0c6ccea79d2675660a690d1fbf6aff624f31024a,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,11c9ff5cadf10515512147fcd58535b9c445de1fcb624cf5a5bf19c8c2fdc4ff,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_icon_upgrade_arrow__1302x1413,analysis/figma/raw/images/0cf9cf29b984c58a7af8eb8b445cdbb1123a44c8,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,a8a64e50da1df1b2c132f7a485d0215271425520362047a3a542fa213fa5bfde,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_staff_spear__435x899,analysis/figma/raw/images/0cfd855bcdef93e33e3e68babd5866bcf2fa4162,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,32388b31042b8f382df34a8e8e511e2e4f5b5e020c2be1ee72222e32890e1c46,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_owl_mage_ring_crescent__413x553,analysis/figma/raw/images/0d8dfc1da087dbdb043b08faed0eb0b12b49c371,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,5652b9fb3db25e09b142ff050ce4fd27d1eb37c52ed6b95dea1931cd3d8c09c0,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_inferno_dragon_ring__306x425,analysis/figma/raw/images/0e5e63d6d0df4a896df8e9e3731dfe440e0360d3,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,a2135ea0283ce501c3f5282bf63e9049626bc24424fe234f244ded1a77d7bd09,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
portrait_elf_archer__324x296,analysis/figma/raw/images/104dcd5307e71acef9d8a52d8db1a9e2e960a814,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,0aede10a3babd0ef8ad6b0d42556ac0388bef2d0caec7a8b715818c328648cd1,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
portrait_raccoon_engineer__331x296,analysis/figma/raw/images/12124c5ba3d45e740c85976a849ad20d62a751c0,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,83f194e4e2c1b9cf4e22a3dadb9209d3d062535ede9935a9972c23be963ed350,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_raccoon_engineer_ring_clock__558x491,analysis/figma/raw/images/13562fe59895c6ec439ecf556040bd2e2f4f25a7,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,8af4b9bba0ca46968282c9b4dca048bce055fc3c5276952b59e91fc2c4996bf0,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
hero_fox_sorcerer__457x420,analysis/figma/raw/images/136e2c3daa100e5c10e35a8e6e483bbcab334c7d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,bded8080e12bd31df451430a20948a1e4190182f7a509bbc307ced469c0825d9,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_fox_sorcerer_staff__231x374,analysis/figma/raw/images/159634f01579f83f29dd08cad88628ab01ae0f62,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,ac234bb903a02124235d830d4740bd3f25719af669b9172cd1fb723277b9ea44,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_robe__335x377,analysis/figma/raw/images/1660096ef0fb0a817a58f20baa2a15ae8fcf4f13,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,bb830bde653e0cbc23c64a8cc614c1500ffa52542feef94dc9eb4ded2c3d19db,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_ring_gem__465x536,analysis/figma/raw/images/167b955bffaeeb6cc65e384a90dbe8318b6469eb,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,4f9daeb4f0172bf2bb87046c67ad376f31b71ec2b4fb7864a18a8bbbfe9ae6b2,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_orange_wings__429x416,analysis/figma/raw/images/1aa2cad57ec093d74ced0b3cb6507e28f7ad140c,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,d216e66385550b3642cf69c32147ceb903e01b3330b505d04a725a8ec54099f2,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
relic_fire_crystal__447x635,analysis/figma/raw/images/1adf237e14b08e2b9e68c12ebdc0f77382c34b17,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,32f8e12519e194908bb48f850b086d016f9636a02667035141bf8b87fe10c6c6,USED_POST_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
decoration_raccoon_castle__1254x1254,analysis/figma/raw/images/1ae552b846d2cd9a35035f2b16555df744df4a32,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,18e4da1c4e7254a0be2f85a77b5f16886969d81094bbef60211d016baabe052d,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_panel_blue_square__1448x1614,analysis/figma/raw/images/1bec326d67982d2b37b0bf94fdceb5e11c18095d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,3c6d4b076f85591581f834359f293c58b9555b73db070f15b6c6a78c28a92158,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
hero_elf_archer__1797x1858,analysis/figma/raw/images/1e615ffee51f6045a4682a21538b096f62e47134,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,f66d72d08e1210eafa306471c8867f9b06ae849ff9fd77eae6df7604525c0be7,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_elf_archer_coat__332x313,analysis/figma/raw/images/207cfefaffb4ac766f12ef881d0ff2c934130535,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,1119d40c83041d4af538933e75b6348d5d02d6d30828ee69070bd1f82b04ca1b,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
relic_wolf_mask__240x317,analysis/figma/raw/images/22d068463183b40f7113e48fb8a193d0748bd89c,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,8e3417f70b66228ac77bdf7d5b5f3a556582426d80b3d3f171608d6438a91fbb,USED_POST_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
boss_infernal_dragon__1968x1659,analysis/figma/raw/images/24e7b4b661c7ee64dfa762ed3c11611dc92191b0,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,2d060451d45ab5b82785cec7a77472d9cc21f1ff19de2fc5856379d96b24ae12,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_boots__578x556,analysis/figma/raw/images/26136bc5cc95a7230b2b40e0333a783605c4cd2d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,c13e7e70598dff3947a946a6c7578c31e79d136b4a51113ca94df2546ae03894,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_purple_orb__357x360,analysis/figma/raw/images/26709afb60ab655eba934861a8765d7ead7d951e,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,19fa40dd0088641f9dbe4b5d0199c1971173867e31250f850631aaea75d1495d,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_inferno_dragon_sword__279x402,analysis/figma/raw/images/26a707abab8df237a6b554a0bca024fad16b0587,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,701cc0a4519f66f347bfa1bfeca78111adeb56f08c7b8ff23fdd57be3b8992bb,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
hero_turtle_warrior__454x405,analysis/figma/raw/images/2704c8e4d69345be4fd9b883a269bdeb3611375e,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,42507c5b58ee689177ecd740a547272be22ddac912dd5509115ddc8751c1c5c6,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
background_grass_platform__754x329,analysis/figma/raw/images/27498cd527af92b2768eef17c1e5cd6a9454328a,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,c82b2020a1a80aa6f3468574256a11d2ab83ce0f72b8980d5866357d38b97dd0,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
enemy_toxic_slime__1654x1388,analysis/figma/raw/images/27d3ca679aff035f5275fb0758710d482bf2f399,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,8a5c6aaa363f8decbf070b5f41175355efc664ec509bb8f4b45fe03dcf0cce7a,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_ice_fairy_ring_gem__233x268,analysis/figma/raw/images/27ec234b70e5c41081959a8665c00ab83a148594,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,f1035f26198a3bccdc3912c7749b6152ecbee370dd992829f60aea4cf07fee91,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_board_slot__244x219,analysis/figma/raw/images/289edf8d7d4cc89271745df76c84e59a84441d75,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,0d3c6287b32fd09d6a0dab7045ce740ea3058151b2627c3e13f2365c2f61063b,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_panel_plain_navy__282x500,analysis/figma/raw/images/29d4b3a5e3bb07d8d4d82add1e71cc5c879233f6,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,e5d2d4a82f9a6acb3838965f1867b8d33d1a08252f31e5004c9a0bba40ad196d,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
portrait_elf_archer__647x592,analysis/figma/raw/images/29d71879d7ca4f81f849d09d382caabbee442d6a,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,bef3295f46a703605063c0b01fb5234778ce8ebba9df2a2405e1f5555482e184,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_owl_mage_robe_crescent__611x673,analysis/figma/raw/images/2a448a50e985e72af9e22c1145c95b359c87b74a,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,5c2251775dd57dc972cb0f98e9b52764c97a863303375f9d857b2d41ca192ac3,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_panda_monk_pants__269x284,analysis/figma/raw/images/2ac06680b310c2e4c49f64eb7d85013490aa3a3d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,109edb53a67ef63dd336fdfd437d5c2c06f0ab910c899bbf779c28971fd6d71c,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_elf_archer_bow__281x370,analysis/figma/raw/images/2ae1207478c6cad2336a4eb0ddb7e802654cbb4f,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,cbcaa6827861b59d14c470c9b8eaa240707691e2026ab096377fe5182d8cbd0f,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
